# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-6 -2 0 414dc2
-5 -2 0 414dc2
-4 -2 0 414dc2
-3 -2 0 414dc2
-2 -2 0 414dc2
-1 -2 0 414dc2
-6 -1 0 414dc2
-5 -1 0 414dc2
-4 -1 0 414dc2
-3 -1 0 414dc2
-2 -1 0 414dc2
-1 -1 0 414dc2
-6 -2 1 414dc2
-5 -2 1 414dc2
-4 -2 1 414dc2
-3 -2 1 414dc2
-6 -1 1 414dc2
-5 -1 1 414dc2
-4 -1 1 414dc2
-3 -1 1 414dc2
-2 -1 1 ffffff
-1 -1 1 ffffff
-2 -1 2 ffffff
-1 -1 2 ffffff
-7 0 0 414dc2
-6 0 0 414dc2
-5 0 0 414dc2
-4 0 0 414dc2
-3 0 0 414dc2
-2 0 0 414dc2
-1 0 0 414dc2
-7 1 0 414dc2
-6 1 0 414dc2
-5 1 0 414dc2
-4 1 0 414dc2
-3 1 0 414dc2
-2 1 0 414dc2
-1 1 0 414dc2
-7 2 0 414dc2
-6 2 0 414dc2
-5 2 0 414dc2
-4 2 0 414dc2
-3 2 0 414dc2
-2 2 0 414dc2
-1 2 0 414dc2
-7 3 0 414dc2
-6 3 0 414dc2
-5 3 0 414dc2
-4 3 0 414dc2
-3 3 0 414dc2
-2 3 0 414dc2
-1 3 0 414dc2
-7 4 0 414dc2
-6 4 0 414dc2
-5 4 0 414dc2
-4 4 0 414dc2
-3 4 0 414dc2
-2 4 0 414dc2
-1 4 0 414dc2
-7 0 1 414dc2
-6 0 1 414dc2
-5 0 1 414dc2
-4 0 1 414dc2
-3 0 1 414dc2
-2 0 1 414dc2
-1 0 1 ffffff
-7 1 1 414dc2
-6 1 1 414dc2
-5 1 1 414dc2
-4 1 1 414dc2
-3 1 1 414dc2
-2 1 1 414dc2
-1 1 1 ffffff
-7 2 1 414dc2
-6 2 1 414dc2
-5 2 1 414dc2
-4 2 1 414dc2
-3 2 1 414dc2
-2 2 1 414dc2
-1 2 1 ffffff
-7 3 1 414dc2
-6 3 1 414dc2
-5 3 1 414dc2
-4 3 1 414dc2
-3 3 1 414dc2
-2 3 1 414dc2
-7 4 1 414dc2
-6 4 1 414dc2
-5 4 1 414dc2
-4 4 1 414dc2
-3 4 1 414dc2
-2 4 1 414dc2
-7 0 2 414dc2
-6 0 2 414dc2
-5 0 2 414dc2
-4 0 2 414dc2
-3 0 2 414dc2
-2 0 2 414dc2
-1 0 2 ffffff
-7 1 2 414dc2
-6 1 2 414dc2
-5 1 2 414dc2
-4 1 2 414dc2
-3 1 2 414dc2
-2 1 2 414dc2
-1 1 2 ffffff
-7 2 2 414dc2
-6 2 2 414dc2
-5 2 2 414dc2
-4 2 2 414dc2
-3 2 2 414dc2
-2 2 2 414dc2
-1 2 2 ffffff
-7 3 2 414dc2
-6 3 2 414dc2
-5 3 2 414dc2
-4 3 2 414dc2
-3 3 2 414dc2
-2 3 2 414dc2
-7 4 2 414dc2
-6 4 2 414dc2
-5 4 2 414dc2
-4 4 2 414dc2
-3 4 2 414dc2
-2 4 2 414dc2
-7 0 3 414dc2
-6 0 3 414dc2
-5 0 3 414dc2
-4 0 3 414dc2
-3 0 3 414dc2
-2 0 3 414dc2
-7 1 3 414dc2
-6 1 3 414dc2
-5 1 3 414dc2
-4 1 3 414dc2
-3 1 3 414dc2
-2 1 3 414dc2
-1 1 3 ffffff
-7 2 3 414dc2
-6 2 3 414dc2
-5 2 3 414dc2
-4 2 3 414dc2
-3 2 3 414dc2
-2 2 3 414dc2
-7 3 3 414dc2
-6 3 3 414dc2
-5 3 3 414dc2
-4 3 3 414dc2
-3 3 3 414dc2
-2 3 3 414dc2
-7 4 3 414dc2
-6 4 3 414dc2
-5 4 3 414dc2
-4 4 3 414dc2
-3 4 3 414dc2
-2 4 3 414dc2
0 -2 0 414dc2
1 -2 0 414dc2
2 -2 0 414dc2
0 -1 0 414dc2
1 -1 0 414dc2
2 -1 0 414dc2
0 -1 1 ffffff
1 -1 1 ffffff
0 -1 2 ffffff
1 -1 2 ffffff
0 0 0 414dc2
1 0 0 414dc2
2 0 0 414dc2
0 1 0 414dc2
1 1 0 414dc2
2 1 0 414dc2
4 1 0 ffffff
5 1 0 ffffff
0 2 0 414dc2
1 2 0 414dc2
2 2 0 414dc2
3 2 0 ffffff
4 2 0 ffffff
5 2 0 ffffff
6 2 0 ffffff
0 3 0 414dc2
1 3 0 414dc2
2 3 0 414dc2
6 3 0 ffffff
0 4 0 414dc2
1 4 0 414dc2
2 4 0 414dc2
6 4 0 ffffff
0 0 1 ffffff
1 0 1 ffffff
0 1 1 ffffff
1 1 1 ffffff
2 1 1 ffffff
0 2 1 ffffff
1 2 1 ffffff
2 2 1 ffffff
6 2 1 ffffff
0 0 2 ffffff
1 0 2 ffffff
0 1 2 ffffff
1 1 2 ffffff
2 1 2 ffffff
0 2 2 ffffff
1 2 2 ffffff
0 1 3 ffffff
1 1 3 ffffff
