# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-7 70 98 ffcc66
-6 70 98 ffcc66
-5 70 98 ffcc66
-4 70 98 ffcc66
-3 70 98 ffcc66
-8 71 98 ffcc66
-7 71 98 ffcc66
-6 71 98 ffcc66
-5 71 98 ffcc66
-4 71 98 ffcc66
-3 71 98 ffcc66
-2 71 98 ffcc66
-9 72 98 ffcc66
-8 72 98 ffcc66
-7 72 98 ffcc66
-6 72 98 ffcc66
-5 72 98 ffcc66
-4 72 98 ffcc66
-3 72 98 ffcc66
-2 72 98 ffcc66
-1 72 98 ffcc66
-10 73 98 ffcc66
-9 73 98 ffcc66
-8 73 98 ffcc66
-7 73 98 ffcc66
-6 73 98 ffcc66
-5 73 98 ffcc66
-4 73 98 ffcc66
-3 73 98 ffcc66
-2 73 98 ffcc66
-1 73 98 ffcc66
-10 74 98 ffcc66
-9 74 98 ffcc66
-8 74 98 ffcc66
-7 74 98 ffcc66
-6 74 98 ffcc66
-5 74 98 ffcc66
-4 74 98 ffcc66
-3 74 98 ffcc66
-2 74 98 ffcc66
-1 74 98 ffcc66
-11 75 98 ffcc66
-10 75 98 ffcc66
-9 75 98 ffcc66
-8 75 98 ffcc66
-7 75 98 ffcc66
-6 75 98 ffcc66
-5 75 98 ffcc66
-4 75 98 ffcc66
-3 75 98 ffcc66
-2 75 98 ffcc66
-1 75 98 ffcc66
-12 76 98 ffcc66
-11 76 98 ffcc66
-10 76 98 ffcc66
-9 76 98 ffcc66
-8 76 98 ffcc66
-7 76 98 ffcc66
-6 76 98 ffcc66
-5 76 98 ffcc66
-4 76 98 ffcc66
-3 76 98 ffcc66
-2 76 98 ffcc66
-1 76 98 ffcc66
-13 77 98 ffcc66
-12 77 98 ffcc66
-11 77 98 ffcc66
-10 77 98 ffcc66
-9 77 98 ffcc66
-8 77 98 ffcc66
-7 77 98 ffcc66
-6 77 98 ffcc66
-5 77 98 ffcc66
-4 77 98 ffcc66
-3 77 98 ffcc66
-2 77 98 ffcc66
-1 77 98 ffcc66
-14 78 98 ffcc66
-13 78 98 ffcc66
-12 78 98 ffcc66
-11 78 98 ffcc66
-10 78 98 ffcc66
-9 78 98 ffcc66
-8 78 98 ffcc66
-7 78 98 ffcc66
-6 78 98 ffcc66
-5 78 98 ffcc66
-4 78 98 ffcc66
-3 78 98 ffcc66
-2 78 98 ffcc66
-1 78 98 ffcc66
-14 79 98 ffcc66
-13 79 98 ffcc66
-12 79 98 ffcc66
-11 79 98 ffcc66
-10 79 98 ffcc66
-9 79 98 ffcc66
-8 79 98 ffcc66
-7 79 98 ffcc66
-6 79 98 ffcc66
-5 79 98 ffcc66
-4 79 98 ffcc66
-3 79 98 ffcc66
-2 79 98 ffcc66
-1 79 98 ffcc66
-9 70 99 ffcc66
-8 70 99 ffcc66
-7 70 99 ffcc66
-6 70 99 ffcc66
-5 70 99 ffcc66
-4 70 99 ffcc66
-3 70 99 ffcc66
-11 71 99 ffcc66
-10 71 99 ffcc66
-9 71 99 ffcc66
-8 71 99 ffcc66
-7 71 99 ffcc66
-6 71 99 ee0000
-5 71 99 ee0000
-4 71 99 ee0000
-3 71 99 ffcc66
-2 71 99 ffcc66
-12 72 99 ffcc66
-11 72 99 ffcc66
-10 72 99 ffcc66
-9 72 99 ffcc66
-8 72 99 ffcc66
-7 72 99 ee0000
-6 72 99 ee0000
-5 72 99 ee0000
-4 72 99 ee0000
-3 72 99 ee0000
-2 72 99 ffcc66
-1 72 99 ffcc66
-12 73 99 ffcc66
-11 73 99 ffcc66
-10 73 99 ffcc66
-9 73 99 ffcc66
-8 73 99 ee0000
-7 73 99 ee0000
-6 73 99 ee0000
-5 73 99 ee0000
-4 73 99 ee0000
-3 73 99 ee0000
-2 73 99 ee0000
-1 73 99 ffcc66
-13 74 99 ffcc66
-12 74 99 ffcc66
-11 74 99 ffcc66
-10 74 99 ffcc66
-9 74 99 ee0000
-8 74 99 ee0000
-7 74 99 ee0000
-6 74 99 ee0000
-5 74 99 ee0000
-4 74 99 ee0000
-3 74 99 ee0000
-2 74 99 ee0000
-1 74 99 ee0000
-13 75 99 ffcc66
-12 75 99 ffcc66
-11 75 99 ffcc66
-10 75 99 ffcc66
-9 75 99 ee0000
-8 75 99 ee0000
-7 75 99 ee0000
-6 75 99 ee0000
-5 75 99 ee0000
-4 75 99 ee0000
-3 75 99 ee0000
-2 75 99 ee0000
-1 75 99 ee0000
-14 76 99 ffcc66
-13 76 99 ffcc66
-12 76 99 ffcc66
-11 76 99 ffcc66
-10 76 99 ee0000
-9 76 99 ee0000
-8 76 99 ee0000
-7 76 99 bbbbbb
-6 76 99 bbbbbb
-5 76 99 bbbbbb
-4 76 99 ee0000
-3 76 99 ee0000
-2 76 99 ee0000
-1 76 99 ee0000
-14 77 99 ffcc66
-13 77 99 ffcc66
-12 77 99 ffcc66
-11 77 99 ee0000
-10 77 99 ee0000
-9 77 99 ee0000
-8 77 99 bbbbbb
-7 77 99 bbbbbb
-6 77 99 bbbbbb
-5 77 99 bbbbbb
-4 77 99 bbbbbb
-3 77 99 ee0000
-2 77 99 ee0000
-1 77 99 ee0000
-14 78 99 ffcc66
-13 78 99 ffcc66
-12 78 99 ee0000
-11 78 99 ee0000
-10 78 99 ee0000
-9 78 99 bbbbbb
-8 78 99 bbbbbb
-7 78 99 bbbbbb
-6 78 99 bbbbbb
-5 78 99 bbbbbb
-4 78 99 bbbbbb
-3 78 99 bbbbbb
-2 78 99 ee0000
-1 78 99 ee0000
-14 79 99 ffcc66
-13 79 99 ee0000
-12 79 99 ee0000
-11 79 99 ee0000
-10 79 99 ee0000
-9 79 99 bbbbbb
-8 79 99 bbbbbb
-7 79 99 bbbbbb
-6 79 99 bbbbbb
-5 79 99 bbbbbb
-4 79 99 bbbbbb
-3 79 99 bbbbbb
-2 79 99 ee0000
-1 79 99 ee0000
-9 70 100 ffcc66
-8 70 100 ffcc66
-7 70 100 ffcc66
-6 70 100 ffcc66
-5 70 100 ffcc66
-4 70 100 ffcc66
-3 70 100 ffcc66
-11 71 100 ffcc66
-10 71 100 ffcc66
-9 71 100 ffcc66
-8 71 100 ffcc66
-7 71 100 ee0000
-6 71 100 ee0000
-5 71 100 ee0000
-4 71 100 ffcc66
-3 71 100 ffcc66
-2 71 100 ffcc66
-12 72 100 ffcc66
-11 72 100 ffcc66
-10 72 100 ffcc66
-9 72 100 ee0000
-8 72 100 ee0000
-7 72 100 ee0000
-6 72 100 ee0000
-5 72 100 ee0000
-4 72 100 ee0000
-3 72 100 ee0000
-2 72 100 ffcc66
-1 72 100 ffcc66
-12 73 100 ffcc66
-11 73 100 ffcc66
-10 73 100 ee0000
-9 73 100 ee0000
-8 73 100 ee0000
-7 73 100 ee0000
-6 73 100 ee0000
-5 73 100 ee0000
-4 73 100 ee0000
-3 73 100 ee0000
-2 73 100 ee0000
-1 73 100 ffcc66
-13 74 100 ffcc66
-12 74 100 ffcc66
-11 74 100 ee0000
-10 74 100 ee0000
-9 74 100 ee0000
-8 74 100 ee0000
-7 74 100 ee0000
-6 74 100 ee0000
-5 74 100 ee0000
-4 74 100 ee0000
-3 74 100 ee0000
-2 74 100 ee0000
-1 74 100 ee0000
-13 75 100 ffcc66
-12 75 100 ffcc66
-11 75 100 ee0000
-10 75 100 ee0000
-9 75 100 ee0000
-8 75 100 ee0000
-7 75 100 ee0000
-6 75 100 ee0000
-5 75 100 ee0000
-4 75 100 ee0000
-3 75 100 ee0000
-2 75 100 ee0000
-1 75 100 ee0000
-14 76 100 ffcc66
-13 76 100 ffcc66
-12 76 100 ee0000
-11 76 100 ee0000
-10 76 100 ee0000
-9 76 100 ee0000
-8 76 100 ee0000
-7 76 100 bbbbbb
-6 76 100 bbbbbb
-5 76 100 bbbbbb
-4 76 100 ee0000
-3 76 100 ee0000
-2 76 100 ee0000
-1 76 100 ee0000
-14 77 100 ffcc66
-13 77 100 ffcc66
-12 77 100 ee0000
-11 77 100 ee0000
-10 77 100 ee0000
-9 77 100 ee0000
-8 77 100 bbbbbb
-7 77 100 bbbbbb
-6 77 100 bbbbbb
-5 77 100 bbbbbb
-4 77 100 bbbbbb
-3 77 100 ee0000
-2 77 100 ee0000
-1 77 100 ee0000
-14 78 100 ffcc66
-13 78 100 ee0000
-12 78 100 ee0000
-11 78 100 ee0000
-10 78 100 ee0000
-9 78 100 bbbbbb
-8 78 100 bbbbbb
-7 78 100 bbbbbb
-6 78 100 bbbbbb
-5 78 100 bbbbbb
-4 78 100 bbbbbb
-3 78 100 bbbbbb
-2 78 100 ee0000
-1 78 100 ee0000
-14 79 100 ffcc66
-13 79 100 ee0000
-12 79 100 ee0000
-11 79 100 ee0000
-10 79 100 ee0000
-9 79 100 bbbbbb
-8 79 100 bbbbbb
-7 79 100 bbbbbb
-6 79 100 bbbbbb
-5 79 100 bbbbbb
-4 79 100 bbbbbb
-3 79 100 bbbbbb
-2 79 100 ee0000
-1 79 100 ee0000
-8 70 101 ffcc66
-7 70 101 ffcc66
-6 70 101 ffcc66
-5 70 101 ffcc66
-4 70 101 ffcc66
-10 71 101 ffcc66
-9 71 101 ffcc66
-8 71 101 ffcc66
-7 71 101 ee0000
-6 71 101 ee0000
-5 71 101 ee0000
-4 71 101 ffcc66
-3 71 101 ffcc66
-2 71 101 ffcc66
-11 72 101 ffcc66
-10 72 101 ffcc66
-9 72 101 ee0000
-8 72 101 ee0000
-7 72 101 ee0000
-6 72 101 ee0000
-5 72 101 ee0000
-4 72 101 ee0000
-3 72 101 ee0000
-2 72 101 ffcc66
-1 72 101 ffcc66
-12 73 101 ffcc66
-11 73 101 ffcc66
-10 73 101 ee0000
-9 73 101 ee0000
-8 73 101 ee0000
-7 73 101 ee0000
-6 73 101 ee0000
-5 73 101 ee0000
-4 73 101 ee0000
-3 73 101 ee0000
-2 73 101 ee0000
-1 73 101 ffcc66
-12 74 101 ffcc66
-11 74 101 ee0000
-10 74 101 ee0000
-9 74 101 ee0000
-8 74 101 ee0000
-7 74 101 ee0000
-6 74 101 ee0000
-5 74 101 ee0000
-4 74 101 ee0000
-3 74 101 ee0000
-2 74 101 ee0000
-1 74 101 ee0000
-13 75 101 ffcc66
-12 75 101 ffcc66
-11 75 101 ee0000
-10 75 101 ee0000
-9 75 101 ee0000
-8 75 101 ee0000
-7 75 101 ee0000
-6 75 101 ee0000
-5 75 101 ee0000
-4 75 101 ee0000
-3 75 101 ee0000
-2 75 101 ee0000
-1 75 101 ee0000
-13 76 101 ffcc66
-12 76 101 ee0000
-11 76 101 ee0000
-10 76 101 ee0000
-9 76 101 ee0000
-8 76 101 ee0000
-7 76 101 bbbbbb
-6 76 101 bbbbbb
-5 76 101 bbbbbb
-4 76 101 ee0000
-3 76 101 ee0000
-2 76 101 ee0000
-1 76 101 ee0000
-14 77 101 ffcc66
-13 77 101 ffcc66
-12 77 101 ee0000
-11 77 101 ee0000
-10 77 101 ee0000
-9 77 101 ee0000
-8 77 101 bbbbbb
-7 77 101 bbbbbb
-6 77 101 bbbbbb
-5 77 101 bbbbbb
-4 77 101 bbbbbb
-3 77 101 ee0000
-2 77 101 ee0000
-1 77 101 ee0000
-14 78 101 ffcc66
-13 78 101 ffcc66
-12 78 101 ee0000
-11 78 101 ee0000
-10 78 101 ee0000
-9 78 101 bbbbbb
-8 78 101 bbbbbb
-7 78 101 bbbbbb
-6 78 101 bbbbbb
-5 78 101 bbbbbb
-4 78 101 bbbbbb
-3 78 101 bbbbbb
-2 78 101 ee0000
-1 78 101 ee0000
-14 79 101 ffcc66
-13 79 101 ffcc66
-12 79 101 ee0000
-11 79 101 ee0000
-10 79 101 ee0000
-9 79 101 bbbbbb
-8 79 101 bbbbbb
-7 79 101 bbbbbb
-6 79 101 bbbbbb
-5 79 101 bbbbbb
-4 79 101 bbbbbb
-3 79 101 bbbbbb
-2 79 101 ee0000
-1 79 101 ee0000
-8 70 102 ffcc66
-7 70 102 ffcc66
-6 70 102 ffcc66
-5 70 102 ffcc66
-4 70 102 ffcc66
-3 70 102 ffcc66
-10 71 102 ffcc66
-9 71 102 ffcc66
-8 71 102 ffcc66
-7 71 102 ee0000
-6 71 102 ee0000
-5 71 102 ee0000
-4 71 102 ffcc66
-3 71 102 ffcc66
-2 71 102 ffcc66
-11 72 102 ffcc66
-10 72 102 ffcc66
-9 72 102 ee0000
-8 72 102 ee0000
-7 72 102 ee0000
-6 72 102 ee0000
-5 72 102 ee0000
-4 72 102 ee0000
-3 72 102 ee0000
-2 72 102 ffcc66
-1 72 102 ffcc66
-12 73 102 ffcc66
-11 73 102 ffcc66
-10 73 102 ee0000
-9 73 102 ee0000
-8 73 102 ee0000
-7 73 102 ee0000
-6 73 102 ee0000
-5 73 102 ee0000
-4 73 102 ee0000
-3 73 102 ee0000
-2 73 102 ee0000
-1 73 102 ffcc66
-12 74 102 ffcc66
-11 74 102 ffcc66
-10 74 102 ee0000
-9 74 102 ee0000
-8 74 102 ee0000
-7 74 102 ee0000
-6 74 102 ee0000
-5 74 102 ee0000
-4 74 102 ee0000
-3 74 102 ee0000
-2 74 102 ee0000
-1 74 102 ee0000
-13 75 102 ffcc66
-12 75 102 ffcc66
-11 75 102 ee0000
-10 75 102 ee0000
-9 75 102 ee0000
-8 75 102 ee0000
-7 75 102 ee0000
-6 75 102 ee0000
-5 75 102 ee0000
-4 75 102 ee0000
-3 75 102 ee0000
-2 75 102 ee0000
-1 75 102 ee0000
-13 76 102 ffcc66
-12 76 102 ffcc66
-11 76 102 ee0000
-10 76 102 ee0000
-9 76 102 ee0000
-8 76 102 ee0000
-7 76 102 bbbbbb
-6 76 102 bbbbbb
-5 76 102 bbbbbb
-4 76 102 ee0000
-3 76 102 ee0000
-2 76 102 ee0000
-1 76 102 ee0000
-13 77 102 ffcc66
-12 77 102 ee0000
-11 77 102 ee0000
-10 77 102 ee0000
-9 77 102 ee0000
-8 77 102 bbbbbb
-7 77 102 bbbbbb
-6 77 102 bbbbbb
-5 77 102 bbbbbb
-4 77 102 bbbbbb
-3 77 102 ee0000
-2 77 102 ee0000
-1 77 102 ee0000
-13 78 102 ffcc66
-12 78 102 ee0000
-11 78 102 ee0000
-10 78 102 ee0000
-9 78 102 bbbbbb
-8 78 102 bbbbbb
-7 78 102 bbbbbb
-6 78 102 bbbbbb
-5 78 102 bbbbbb
-4 78 102 bbbbbb
-3 78 102 bbbbbb
-2 78 102 ee0000
-1 78 102 ee0000
-14 79 102 ffcc66
-13 79 102 ffcc66
-12 79 102 ee0000
-11 79 102 ee0000
-10 79 102 ee0000
-9 79 102 bbbbbb
-8 79 102 bbbbbb
-7 79 102 bbbbbb
-6 79 102 bbbbbb
-5 79 102 bbbbbb
-4 79 102 bbbbbb
-3 79 102 bbbbbb
-2 79 102 ee0000
-1 79 102 ee0000
-7 69 103 ffcc66
-6 69 103 ffcc66
-5 69 103 ffcc66
-4 69 103 ffcc66
-9 70 103 ffcc66
-8 70 103 ffcc66
-7 70 103 ffcc66
-6 70 103 ffcc66
-5 70 103 ffcc66
-4 70 103 ffcc66
-3 70 103 ffcc66
-2 70 103 ffcc66
-10 71 103 ffcc66
-9 71 103 ffcc66
-8 71 103 ffcc66
-7 71 103 ee0000
-6 71 103 ee0000
-5 71 103 ee0000
-4 71 103 ee0000
-3 71 103 ffcc66
-2 71 103 ffcc66
-1 71 103 ffcc66
-11 72 103 ffcc66
-10 72 103 ffcc66
-9 72 103 ee0000
-8 72 103 ee0000
-7 72 103 ee0000
-6 72 103 ee0000
-5 72 103 ee0000
-4 72 103 ee0000
-3 72 103 ee0000
-2 72 103 ffcc66
-1 72 103 ffcc66
-11 73 103 ffcc66
-10 73 103 ee0000
-9 73 103 ee0000
-8 73 103 ee0000
-7 73 103 ee0000
-6 73 103 ee0000
-5 73 103 ee0000
-4 73 103 ee0000
-3 73 103 ee0000
-2 73 103 ee0000
-1 73 103 ffcc66
-12 74 103 ffcc66
-11 74 103 ffcc66
-10 74 103 ee0000
-9 74 103 ee0000
-8 74 103 ee0000
-7 74 103 ee0000
-6 74 103 ee0000
-5 74 103 ee0000
-4 74 103 ee0000
-3 74 103 ee0000
-2 74 103 ee0000
-1 74 103 ee0000
-12 75 103 ffcc66
-11 75 103 ee0000
-10 75 103 ee0000
-9 75 103 ee0000
-8 75 103 ee0000
-7 75 103 ee0000
-6 75 103 ee0000
-5 75 103 ee0000
-4 75 103 ee0000
-3 75 103 ee0000
-2 75 103 ee0000
-1 75 103 ee0000
-13 76 103 ffcc66
-12 76 103 ffcc66
-11 76 103 ee0000
-10 76 103 ee0000
-9 76 103 ee0000
-8 76 103 ee0000
-7 76 103 ee0000
-6 76 103 ee0000
-5 76 103 ee0000
-4 76 103 ee0000
-3 76 103 ee0000
-2 76 103 ee0000
-1 76 103 ee0000
-13 77 103 ffcc66
-12 77 103 ffcc66
-11 77 103 ee0000
-10 77 103 ee0000
-9 77 103 ee0000
-8 77 103 ee0000
-7 77 103 bbbbbb
-6 77 103 bbbbbb
-5 77 103 bbbbbb
-4 77 103 ee0000
-3 77 103 ee0000
-2 77 103 ee0000
-1 77 103 ee0000
-13 78 103 ffcc66
-12 78 103 ee0000
-11 78 103 ee0000
-10 78 103 ee0000
-9 78 103 ee0000
-8 78 103 bbbbbb
-7 78 103 bbbbbb
-6 78 103 bbbbbb
-5 78 103 bbbbbb
-4 78 103 bbbbbb
-3 78 103 ee0000
-2 78 103 ee0000
-1 78 103 ee0000
-13 79 103 ffcc66
-12 79 103 ee0000
-11 79 103 ee0000
-10 79 103 ee0000
-9 79 103 ee0000
-8 79 103 bbbbbb
-7 79 103 bbbbbb
-6 79 103 bbbbbb
-5 79 103 bbbbbb
-4 79 103 bbbbbb
-3 79 103 ee0000
-2 79 103 ee0000
-1 79 103 bbbbbb
-8 69 104 ffcc66
-7 69 104 ffcc66
-6 69 104 ffcc66
-5 69 104 ffcc66
-4 69 104 ffcc66
-3 69 104 ffcc66
-2 69 104 ffcc66
-9 70 104 ffcc66
-8 70 104 ffcc66
-7 70 104 ffcc66
-6 70 104 ee0000
-5 70 104 ee0000
-4 70 104 ffcc66
-3 70 104 ffcc66
-2 70 104 ffcc66
-1 70 104 ffcc66
-10 71 104 ffcc66
-9 71 104 ffcc66
-8 71 104 ee0000
-7 71 104 ee0000
-6 71 104 ee0000
-5 71 104 ee0000
-4 71 104 ee0000
-3 71 104 ee0000
-2 71 104 ffcc66
-1 71 104 ffcc66
-11 72 104 ffcc66
-10 72 104 ffcc66
-9 72 104 ee0000
-8 72 104 ee0000
-7 72 104 ee0000
-6 72 104 ee0000
-5 72 104 ee0000
-4 72 104 ee0000
-3 72 104 ee0000
-2 72 104 ee0000
-1 72 104 ffcc66
-11 73 104 ffcc66
-10 73 104 ee0000
-9 73 104 ee0000
-8 73 104 ee0000
-7 73 104 ee0000
-6 73 104 ee0000
-5 73 104 ee0000
-4 73 104 ee0000
-3 73 104 ee0000
-2 73 104 ee0000
-1 73 104 ee0000
-12 74 104 ffcc66
-11 74 104 ffcc66
-10 74 104 ee0000
-9 74 104 ee0000
-8 74 104 ee0000
-7 74 104 ee0000
-6 74 104 ee0000
-5 74 104 ee0000
-4 74 104 ee0000
-3 74 104 ee0000
-2 74 104 ee0000
-1 74 104 ee0000
-12 75 104 ffcc66
-11 75 104 ee0000
-10 75 104 ee0000
-9 75 104 ee0000
-8 75 104 ee0000
-7 75 104 ee0000
-6 75 104 ee0000
-5 75 104 ee0000
-4 75 104 ee0000
-3 75 104 ee0000
-2 75 104 ee0000
