# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
1 15 9 ffffff
9 15 9 ffffff
11 15 9 ffffff
1 15 10 ffffff
7 15 10 ffffff
13 15 10 ffffff
14 15 10 ffffff
1 15 11 ffffff
7 15 11 ffffff
10 15 11 ffffff
15 15 11 ffffff
7 14 12 ffffff
1 15 12 ffffff
7 15 12 ffffff
10 15 12 ffffff
15 14 13 ffffff
1 15 13 ffffff
4 15 13 ffffff
10 15 13 ffffff
15 15 13 ffffff
7 14 14 ffffff
1 15 14 ffffff
3 15 14 ffffff
5 15 14 ffffff
7 15 14 ffffff
8 15 14 ffffff
10 15 14 ffffff
15 14 15 ffffff
1 15 15 ffffff
2 15 15 ffffff
6 15 15 ffffff
7 15 15 ffffff
10 15 15 ffffff
15 15 15 ffffff
7 15 16 ffffff
10 15 16 ffffff
10 15 17 ffffff
11 15 17 ffffff
12 15 17 ffffff
13 15 17 ffffff
14 15 17 ffffff
15 15 17 ffffff
